id,area,priority,weight_kg,trip_id
17,Dokki,1,5.5,1
38,Dokki,5,4.1,1
48,Dokki,2,4.6,2
23,Dokki,3,4.6,2
34,Dokki,4,8.5,3
42,Dokki,5,1.1,3
43,Dokki,5,9.5,4
9,Dokki,5,3.0,5
10,Downtown,1,7.3,6
24,Downtown,3,2.0,6
45,Downtown,1,6.6,7
22,Downtown,2,8.3,8
47,Downtown,3,1.5,8
50,Downtown,2,5.1,9
21,Downtown,3,9.4,10
18,Downtown,5,8.5,11
3,Giza,1,6.6,12
1,Giza,1,0.7,12
35,Giza,4,1.8,12
26,Giza,1,6.0,13
29,Giza,5,2.5,13
49,Giza,3,9.2,14
16,Giza,4,5.3,15
8,Giza,5,4.3,15
4,Heliopolis,1,5.8,16
7,Heliopolis,2,6.9,17
44,Heliopolis,3,9.2,18
15,Heliopolis,3,7.8,19
37,Heliopolis,3,7.2,20
33,Heliopolis,3,2.4,20
12,Maadi,2,9.1,21
41,Maadi,2,7.6,22
36,Maadi,2,7.2,23
39,Maadi,2,5.1,24
28,Maadi,4,3.9,24
11,Maadi,4,3.6,25
6,Maadi,5,5.9,25
27,Maadi,5,7.1,26
40,Nasr City,1,8.2,27
5,Nasr City,1,1.3,27
20,Nasr City,1,6.5,28
32,Nasr City,2,8.7,29
14,Nasr City,3,8.1,30
31,Nasr City,3,4.1,31
46,Nasr City,5,7.3,32
30,Zamalek,1,2.6,33
13,Zamalek,1,1.3,33
19,Zamalek,5,2.2,33
25,Zamalek,2,6.5,34
2,Zamalek,2,2.5,34
51,Maadi,1,12.0,
52,Zamalek,3,15.5,
