trip_id,area,total_weight_kg,package_count
1,Dokki,9.6,2
2,Dokki,9.2,2
3,Dokki,9.6,2
4,Dokki,9.5,1
5,Dokki,3.0,1
6,Downtown,9.3,2
7,Downtown,6.6,1
8,Downtown,9.8,2
9,Downtown,5.1,1
10,Downtown,9.4,1
11,Downtown,8.5,1
12,Giza,9.1,3
13,Giza,8.5,2
14,Giza,9.2,1
15,Giza,9.6,2
16,Heliopolis,5.8,1
17,Heliopolis,6.9,1
18,Heliopolis,9.2,1
19,Heliopolis,7.8,1
20,Heliopolis,9.6,2
21,Maadi,9.1,1
22,Maadi,7.6,1
23,Maadi,7.2,1
24,Maadi,9.0,2
25,Maadi,9.5,2
26,Maadi,7.1,1
27,Nasr City,9.5,2
28,Nasr City,6.5,1
29,Nasr City,8.7,1
30,Nasr City,8.1,1
31,Nasr City,4.1,1
32,Nasr City,7.3,1
33,Zamalek,6.1,3
34,Zamalek,9.0,2
